,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim,n_channels
87,ISV,6.4140625,7.025667667388916,24943.270000000004,19423.447000000004,1.2794197797775269,0.8266136646270752,1482.0,1.3602078015257313,0.14471794114249462,26.1,24.6,49.7,1.0
88,ITE,3.0390625,8.280096054077148,24698.950000000004,17927.483000000004,1.4211097955703735,0.9052190780639648,2898.0,1.5053886172553688,0.1763780574541983,40.0,19.5,39.1,1.0
89,ITG,5.2890625,8.513518333435059,21740.360000000004,15154.514000000003,1.2400356531143188,0.7403212785720825,9095.0,1.6073671822933004,0.10446329721647679,26.0,24.0,42.0,1.0
90,ITH,5.0078125,7.812809944152832,20420.640000000003,12035.862000000003,1.083972454071045,0.5927351117134094,11921.0,1.4190972140363443,0.16286493802756188,24.1,21.8,43.1,1.0
91,ITR,4.1640625,6.9971418380737305,42146.72000000001,27554.256000000005,1.1788339614868164,0.7121172547340393,12852.0,1.542980131316501,0.21957159066975174,21.9,44.5,50.7,1.0
92,ITT,12.8828125,14.351305961608887,18513.300000000003,19778.092000000004,1.6010866165161133,1.2863119840621948,17654.0,2.1544442891736932,0.41010272745701026,39.2,32.4,22.8,1.0
93,ITW,3.7421875,4.943682670593262,9621.160000000002,5989.114000000001,1.096856951713562,0.5424599051475525,79380.0,1.9589112834012106,0.425896595372959,20.6,30.6,17.1,1.0
94,IWR,5.8515625,7.969943046569824,19184.610000000004,15212.430000000004,1.3748188018798828,0.8807650804519653,5740.0,2.0164227806972317,0.46862644980619333,40.4,26.1,24.1,1.0
95,IWS,6.9765625,8.991106033325195,47796.48000000001,46514.96600000001,1.603966474533081,1.0765968561172485,61994.0,2.569509094755674,0.7108081642016245,52.7,52.7,26.0,1.0
96,IWV,6.9765625,8.912912368774414,58084.84000000001,51089.307000000015,1.4633539915084839,0.9638807773590088,87360.0,2.3415385933616144,0.534860938202109,56.5,51.3,27.9,1.0
97,IWW,6.5546875,7.045565605163574,41598.19000000001,30213.25600000001,1.2799654006958008,0.7239335179328918,51040.0,2.832839344932852,0.9788381634532808,83.9,25.9,23.9,1.0
98,JBW,1.4921875,3.9698867797851562,2180.3900000000003,1113.7400000000002,0.9522398710250854,0.3960387408733368,42.0,1.8077241688076384,0.31099375574169746,10.3,13.6,15.9,1.0
