,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim
EPI,EPI,3.8037109375,5.635601121442148,3086.5000000000005,1323.5480000000002,1.9505367333587356,0.38743886808884176,16.0,1.4984002463028805,0.28204733341889965,18.4,34.0,16.5
ERI,ERI,3.3994140625,6.867313885355759,5250.140000000001,3071.600000000001,2.2531075247916066,0.7616088160937383,308.0,1.54060837342855,0.2646376423092013,24.5,22.6,29.3
ESV,ESV,2.0986328125,6.651315659326356,8391.2,3600.882000000001,1.7505464299774038,0.6124172697596733,72.0,1.5044768213423185,0.06281413106606862,19.7,24.8,44.7
ETL,ETL,2.9423828125,6.4404968752418466,10910.890000000001,3830.382000000001,1.7285139970924885,0.5026626205657775,17.0,1.5616295594223781,0.13196326367718575,15.3,57.7,35.5
ETR,ETR,9.7802734375,10.373041983911952,9782.940000000002,6189.935000000001,2.21908058093478,0.9675565424704382,900.0,3.140555647376128,1.089344303469403,40.7,36.1,16.7
EUO,EUO,2.3271484375,6.99714227381436,14260.770000000002,8521.742000000002,2.1128219742209513,0.733434897992669,57.0,1.401150740436712,0.02813554904549167,28.0,44.8,40.5
EWS,EWS,4.1728515625,6.434283176858164,16709.840000000004,8344.269000000002,1.9236587806866459,0.6236909127519528,106.0,1.514580296333263,0.11349415079480833,38.9,32.1,36.7
EZT,EZT,2.4501953125,6.723094525588644,6596.680000000001,3891.368000000001,2.178855936290226,0.6797937727945886,117.0,1.5471969482659547,0.02934399280905852,19.6,24.8,43.7
FAR,FAR,2.2392578125,6.276941930590086,15145.760000000002,5482.661000000001,1.6811425101095419,0.5611569881125736,540.0,1.2548615447329932,0.08548627359659487,24.9,21.6,71.5
FAU,FAU,7.4951171875,11.380685392365436,35803.47000000001,39425.27600000001,3.368452053517636,1.1498004693893642,462.0,1.7744475912212199,0.1409988607419158,49.2,49.3,49.1
FER,FER,4.7529296875,6.216108107168021,4200.460000000001,1845.6140000000005,1.9874297233755844,0.5379160440572116,186.0,1.5775529268971733,0.44154248914560407,35.9,28.4,15.1
FRA,FRA,2.3271484375,6.393746945258313,11061.230000000001,3928.802000000001,1.6934202395119173,0.5470958833073374,156.0,1.287459729890323,0.10511729772599686,25.0,21.5,50.7
GIS,GIS,3.3994140625,5.047771785649585,3213.7400000000007,1195.7720000000004,1.6990505719569096,0.34883536273638377,104.0,2.291280411181769,0.13868131388245086,19.7,19.1,20.5
GIU,GIU,2.3271484375,6.4031242374328485,18120.950000000004,5798.295000000001,1.600522245854616,0.5083472782046838,143.0,1.1780952501046746,0.060188724371498616,24.9,21.6,82.1
GME,GME,7.1611328125,7.717512552629896,4841.830000000001,2443.870000000001,1.9156712421584063,0.704190764177931,196.0,1.9073350316357742,0.46991990947495105,26.0,22.9,19.7
GON,GON,5.8427734375,6.529931086925804,4137.760000000001,1511.9110000000003,1.5323457092650261,0.5768528848177623,492.0,2.6868578758128434,0.9234359172065206,32.1,38.6,10.3
GOO,GOO,2.6962890625,4.664761515876241,5442.560000000001,1463.5570000000002,1.536511023022546,0.21906272055449552,60.0,1.7052602187423365,0.18783030439299236,17.6,23.8,33.3
HEU,HEU,3.9794921875,6.099180272790763,5152.210000000001,2402.0810000000006,2.0867529492713803,0.4493052898211812,68.0,2.1991547339614357,0.9098064018881394,35.5,33.7,13.5
IFO,IFO,1.4306640625,8.229216244576394,8464.270000000002,5943.615000000002,2.3702445753467605,0.9430870572272099,0.0,nan,nan,31.9,19.9,46.1
IFR,IFR,6.3876953125,7.467261881037788,3814.3400000000006,2686.7670000000007,2.4015340084541705,0.8233937786236338,46.0,1.5617426900401987,0.2634575445802489,37.8,25.9,14.3
IFW,IFW,4.2783203125,7.874007874011811,10090.940000000002,5435.328000000001,2.011572740096563,0.707358243562032,418.0,2.782486257625844,0.8717835753813444,43.3,35.2,19.9
IFY,IFY,1.9755859375,6.99714227381436,6980.910000000002,3647.9410000000007,2.27801329210609,0.4859192565643048,0.0,nan,nan,30.2,30.2,23.9
IHW,IHW,3.7333984375,6.794115100585212,13579.420000000002,6731.324000000001,1.9407974384424518,0.5369010808584971,81.0,1.7612654506363494,0.04949542311474318,28.0,47.8,36.3
